Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Meter Category,Meter Sub-Category,Meter Name,Consumed Service,,
Database,Relation Database,Azure SQL Database,Standerd Single,Databse Units,SQL Database,,Database Units%,Database,,
Database,Relation Database,Azure SQL Database,LTR Backup Storage,Datd Stored,SQL Database,LTR Backup Storage,Data Stored,,,
Database,Relation Database,Azure SQL Database,Managed Instance,vCore Hours,SQL Database,Managed Instance%,,Microsoft.Sql,,
Database,Relation Database,Azure SQL Database,vCore Pay Model,vCore Hours,SQL Database,Single/Elastic Pool%,vCore,Microsoft.Sql,,
Database,Relation Database,Azure SQL Database,DTU Pay Model,eDTUs,SQL Database,Elastic Pool%,eDTUs,Microsoft.Sql,,
Database,Relation Database,Azure SQL Database,Hyperscae,vCore Hours,SQL Database,SingleDB Hyperscale%,vCore,Microsoft.Sql,,
Database,Relation Database,Azure SQL Database,DTU Pay Model,DTUs,SQL Database,Single%,%DTUs,Microsoft.Sql,,
Database,Relation Database,Azure SQL Database,Compute Reservation,Reserved Instance Usage,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIBC%G5%,
Database,Relation Database,Azure SQL Database,General,Geheral Usage,SQL Database,Compute Reservation,Usage,Microsoft.Sql,%SLO_: _MIGP%G5%,
Database,Relation Database,Azure SQL Database,Storage,Data Stored,SQL Database,,,Microsoft.Sql,,
Analitics,Data Warehouse,Azure SQL Data Warehouse,Storage,Data Stored,SQL Data Warehouse,%Storage,,Microsoft.Sql,,
Storage,General Storage,Azure Storage,Daabase Backup Storage,GB Stored,Storage,,,Microsoft.Sql,,
Storage,General Storage,Azure Storage,Backup Storage,GB Stored,Storage,,,microsoft._ackup,,
Storage,General Storage,Azure Storage,Valute Backup Storage,GB Stored,Storage,,,Microsoft.RecoveryServices,,
Storage,General Storage,Azure Storage,General Storage,GB Stored,Storage,,,%_torage%,,
Storage,General Storage,Azure Storage,Disk Storage,GB Stored,Storage,,,Microsoft.Compute,,
Storage,General Storage,Azure Storage,ML Space Storage,GB Stored,Storage,,,Microsoft.MachineLearningServices,,
Storage,General Storage,Azure Storage,Batch Storage,GB Stored,Storage,,,Microsoft.Batch,,
Compute,Virtual Machince,Azure Virtual Machines,Licenses,Licenses Usage,Virtual Machines Licenses,,,,,
Compute,Virtual Machince,Azure Virtual Machines,Linux,Compute Hors,Virtual Machines,Red Hat Enterprise Linux%,Compute Hours,%Compute,,
Compute,Virtual Machince,Azure Virtual Machines,SQL Server Licence,Compute Horus,Virtual Machines,SQL Server%,Compute Hours,,,
Compute,Virtual Machince,Azure Virtual Machines,BizTalk Licence,Compute Horus,Virtual Machines,BizTalk Server,Compute Hours,%Compute,,
Compute,Virtual Machince,Azure Virtual Machines,BizTalk Licence,Compute Hours,Virtual Machines,BizTalk Server Standard%,Compute Hours,%Compute,,
Compute,Virtual Machince,Azure Virtual Machines,Java Enviroment,Compute Hours,Virtual Machines,Java Development Environment%,Compute Hours,Unassigned,,
Compute,Virtual Machince,Azure Virtual Machines,Standard VM,Compute Hours,Virtual Machines,Reservation%,Compute Hours,%Compute,,
Developer tools,Visual Studio,Visual Studio Team Service,Team Service Users,Users,Visual Studio,Team Services,Users,,,
Developer tools,Visual Studio,Visual Studio Team Service,Privat Build Agents,Agent Hours,Visual Studio,Build and Deployment,Private Agents,,,
Developer tools,Visual Studio,Visual Studio Team Service,Application Insights,Agent Hours,Visual Studio,Build and Deployment,Hosted Agents,,,
Developer tools,Visual Studio,Visual Studio Team Service,General,Monitoring,Visual Studio,Application Insights,,microsoft.insights,,
Compute,Web Apps,Azure App Service,Free Tier,Free Websites,Websites,Web Sites,Free Web Sites,Microsoft.Web,,
Compute,Web Apps,Azure App Service,Premium Hours,Compute Hours,Websites,,%Hours,Microsoft.Web,,
Compute,Web Apps,Azure App Service,IP SSL,IP SSL Building,Websites,Web Sites,IP SSL,Microsoft.Web,,
Analitics,Data Integration,Azure Data Factory,Data Movement,Cloud Data Movement,Azure Data Factory v2,,Cloud Data Movement,Microsoft.DataFactory,,
Analitics,Data Integration,Azure Data Factory,Orchestration,Activity run,Azure Data Factory v2,,Cloud Orchestration Activity Run,Microsoft.DataFactory,,
Analitics,Data Integration,Azure Data Factory,Pipeline Activity External,External Integration Runtime,Azure Data Factory v2,,Cloud Pipeline Activity External IR,Microsoft.DataFactory,,
Analitics,Data Integration,Azure Data Factory,Pipeline Activity,Integration Runtime Hours,Azure Data Factory v2,,Cloud Pipeline Activity IR,Microsoft.DataFactory,,
Analitics,Data Integration,Azure Data Factory,Monitoring,Monitoring Operations,Azure Data Factory v2,,Monitoring Operations,Microsoft.DataFactory,,
Analitics,Data Integration,Azure Data Factory,Read Write Operations,Read Write Operations,Azure Data Factory v2,,Read Write Operations,Microsoft.DataFactory,,
